product_id,qty,price,discount,members,txn_id,start_txn_time
c4a632,4,13,17,t,54f307,"2021-02-13 01:59:43"
5d267b,4,40,17,t,54f307,"2021-02-13 01:59:43"
b9a74d,4,17,17,t,54f307,"2021-02-13 01:59:43"
2feb6b,2,29,17,t,54f307,"2021-02-13 01:59:43"
c4a632,5,13,21,t,26cc98,"2021-01-19 01:39:00"
e31d39,2,10,21,t,26cc98,"2021-01-19 01:39:00"
72f5d4,3,19,21,t,26cc98,"2021-01-19 01:39:00"
2a2353,3,57,21,t,26cc98,"2021-01-19 01:39:00"
f084eb,3,36,21,t,26cc98,"2021-01-19 01:39:00"
c4a632,1,13,21,f,ef648d,"2021-01-27 02:18:17"
e83aa3,5,32,21,f,ef648d,"2021-01-27 02:18:17"
d5e9a6,1,23,21,f,ef648d,"2021-01-27 02:18:17"
72f5d4,1,19,21,f,ef648d,"2021-01-27 02:18:17"
5d267b,3,40,21,f,ef648d,"2021-01-27 02:18:17"
f084eb,4,36,21,f,ef648d,"2021-01-27 02:18:17"
b9a74d,4,17,21,f,ef648d,"2021-01-27 02:18:17"
c4a632,2,13,23,t,fba96f,"2021-03-03 00:32:56"
e31d39,5,10,23,t,fba96f,"2021-03-03 00:32:56"
9ec847,3,54,23,t,fba96f,"2021-03-03 00:32:56"
f084eb,4,36,23,t,fba96f,"2021-03-03 00:32:56"
2feb6b,2,29,23,t,fba96f,"2021-03-03 00:32:56"
c4a632,5,13,11,t,4e9268,"2021-01-23 14:18:54"
e31d39,4,10,11,t,4e9268,"2021-01-23 14:18:54"
72f5d4,5,19,11,t,4e9268,"2021-01-23 14:18:54"
f084eb,2,36,11,t,4e9268,"2021-01-23 14:18:54"
b9a74d,2,17,11,t,4e9268,"2021-01-23 14:18:54"
e83aa3,4,32,4,t,9717d4,"2021-01-29 07:22:13"
d5e9a6,2,23,4,t,9717d4,"2021-01-29 07:22:13"
c8d436,4,10,4,t,9717d4,"2021-01-29 07:22:13"
2a2353,1,57,4,t,9717d4,"2021-01-29 07:22:13"
f084eb,1,36,4,t,9717d4,"2021-01-29 07:22:13"
72f5d4,3,19,14,f,e9a1dd,"2021-03-28 20:01:43"
9ec847,3,54,14,f,e9a1dd,"2021-03-28 20:01:43"
2a2353,4,57,14,f,e9a1dd,"2021-03-28 20:01:43"
f084eb,2,36,14,f,e9a1dd,"2021-03-28 20:01:43"
c4a632,3,13,6,f,003ea6,"2021-01-20 14:21:01"
e31d39,3,10,6,f,003ea6,"2021-01-20 14:21:01"
d5e9a6,3,23,6,f,003ea6,"2021-01-20 14:21:01"
9ec847,3,54,6,f,003ea6,"2021-01-20 14:21:01"
e31d39,5,10,20,f,5d749c,"2021-03-28 22:24:26"
d5e9a6,4,23,20,f,5d749c,"2021-03-28 22:24:26"
5d267b,5,40,20,f,5d749c,"2021-03-28 22:24:26"
2a2353,4,57,20,f,5d749c,"2021-03-28 22:24:26"
f084eb,2,36,20,f,5d749c,"2021-03-28 22:24:26"
